Hourly measurement data supplied by UK-air on 07/12/2021
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,,"Bexley - Belvedere West",,"Birmingham Airport 2",,"Breckland East Wretham",,"Brent - Ikea",,"Bridgend Park Street",,"Chichester - Lodsworth",,"Eastbourne - Devonshire Park",,"Glasgow Waulkmillglen Reservoir",,"Greenwich - Falconwood",,"Greenwich - Plumstead High Street",,"Greenwich - Westhorne Avenue",,"Greenwich - Woolwich Flyover",,"H&F Hammersmith Town Centre",,"Hackney - Old Street",,"Hounslow Cranford",,"Lewes - Newhaven",,"Lewisham - Honor Oak Park",,"Luton Airport FutureLuToN",,"Marchlyn Mawr",,"Newport M4 Junction 25",,"Oxford St Ebbes (Cal Club)",,"Redbridge - Ley Street",,"Redcar Dormanstown",,"Reigate and Banstead - Poles Lane",,"Richmond Upon Thames - Barnes Wetlands",,"Rother - Rye Harbour",,"Salford M60",,"Sevenoaks - Greatness Park",,"South Holland Westmere School",,"Southwark - Elephant and Castle",,"Swansea Cwm Level Park",,"Swansea Hafod DOAS",,"Swansea Morriston Roadside",,"Swansea St Thomas DOAS",,"Tower Hamlets - Blackwall",,"Tower Hamlets - Millwall Park",,"V Glamorgan Windsor Road Penarth",,"Wealden - Isfield",
Date,Time,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status,"Ozone",Status
2021-01-01,01:00:00,23.3,V ugm-3,2.79636,N ugm-3,18.56001,N ugm-3,17.7,V ugm-3,No data,,31.2,V ugm-3,23.5,V ugm-3,No data,V ugm-3,20,V ugm-3,13.2,V ugm-3,No data,V ugm-3,14.2,V ugm-3,16.81045,V ugm-3,29.3,V ugm-3,No data,,25.7,V ugm-3,27.7,N ugm-3,18.12761,N ugm-3,37,V ugm-3,11,N ugm-3,7.05231,N ugm-3,No data,,13.57076,N ugm-3,39,V ugm-3,28.3,V ugm-3,32.5,V ugm-3,2.66093,N ugm-3,31.2,N ugm-3,11.24244,N ugm-3,22.7,V ugm-3,4,V ugm-3,19,N ugm-3,2,N ugm-3,No data,N ugm-3,15.1,N ugm-3,26.82952,N ugm-3,2,V ugm-3,29.6,V ugm-3
2021-01-01,02:00:00,32.7,V ugm-3,24.484,N ugm-3,15.23384,N ugm-3,14,V ugm-3,No data,,31.8,V ugm-3,28,V ugm-3,No data,V ugm-3,20.7,V ugm-3,25.8,V ugm-3,No data,V ugm-3,24.4,V ugm-3,17.71516,V ugm-3,40.6,V ugm-3,No data,,30.7,V ugm-3,37.8,N ugm-3,21.10453,N ugm-3,29,V ugm-3,14,N ugm-3,7.07575,N ugm-3,30.5,N ugm-3,16.21506,N ugm-3,41.5,V ugm-3,22.3,V ugm-3,36.4,V ugm-3,2.66093,N ugm-3,37.1,N ugm-3,15.30037,N ugm-3,32.5,V ugm-3,2,V ugm-3,26,N ugm-3,1,N ugm-3,No data,N ugm-3,25.7,N ugm-3,39.45938,N ugm-3,3,V ugm-3,33.7,V ugm-3
2021-01-01,03:00:00,41.6,V ugm-3,26.69378,N ugm-3,14.96775,N ugm-3,29.5,V ugm-3,No data,,29,V ugm-3,34.4,V ugm-3,No data,V ugm-3,29.7,V ugm-3,30.9,V ugm-3,No data,V ugm-3,30.1,V ugm-3,30.83357,V ugm-3,37.9,V ugm-3,No data,,36.6,V ugm-3,46.9,N ugm-3,26.60933,N ugm-3,30,V ugm-3,12,N ugm-3,9.34886,N ugm-3,31.3,N ugm-3,42.25895,N ugm-3,44.6,V ugm-3,31.4,V ugm-3,39.2,V ugm-3,5.18882,N ugm-3,30.4,N ugm-3,17.61205,N ugm-3,35.1,V ugm-3,2,V ugm-3,22,N ugm-3,1,N ugm-3,No data,N ugm-3,25.9,N ugm-3,44.47208,N ugm-3,4,V ugm-3,33.3,V ugm-3
2021-01-01,04:00:00,39.4,V ugm-3,23.05154,N ugm-3,14.51872,N ugm-3,22.2,V ugm-3,No data,,23.5,V ugm-3,38.2,V ugm-3,No data,V ugm-3,31.8,V ugm-3,27.9,V ugm-3,No data,V ugm-3,31.6,V ugm-3,28.39881,V ugm-3,34.9,V ugm-3,No data,,38,V ugm-3,48.6,N ugm-3,23.88188,N ugm-3,31,V ugm-3,15,N ugm-3,11.94975,N ugm-3,27.3,N ugm-3,54.78197,N ugm-3,44.6,V ugm-3,36.4,V ugm-3,40.3,V ugm-3,2.44473,N ugm-3,36.3,N ugm-3,17.51227,N ugm-3,38.4,V ugm-3,3,V ugm-3,28,N ugm-3,1,N ugm-3,No data,N ugm-3,24.9,N ugm-3,45.80999,N ugm-3,3,V ugm-3,35.1,V ugm-3
2021-01-01,05:00:00,36.7,V ugm-3,20.19582,N ugm-3,15.91571,N ugm-3,21.9,V ugm-3,No data,,23.2,V ugm-3,42.3,V ugm-3,No data,V ugm-3,31.8,V ugm-3,21,V ugm-3,No data,V ugm-3,25.5,V ugm-3,29.4715,V ugm-3,23.9,V ugm-3,No data,,37.4,V ugm-3,42.2,N ugm-3,20.93822,N ugm-3,33,V ugm-3,10,N ugm-3,7.40505,N ugm-3,29.2,N ugm-3,54.63229,N ugm-3,46.3,V ugm-3,27.3,V ugm-3,39.7,V ugm-3,2.29506,N ugm-3,41.2,N ugm-3,19.75743,N ugm-3,26.7,V ugm-3,3,V ugm-3,31,N ugm-3,1,N ugm-3,No data,N ugm-3,15.5,N ugm-3,36.17705,N ugm-3,2,V ugm-3,41.5,V ugm-3
2021-01-01,06:00:00,24.3,V ugm-3,18.15833,N ugm-3,14.46883,N ugm-3,23.6,V ugm-3,No data,,22.4,V ugm-3,41.8,V ugm-3,No data,V ugm-3,15.7,V ugm-3,15.5,V ugm-3,No data,V ugm-3,14.2,V ugm-3,28.71812,V ugm-3,21.5,V ugm-3,No data,,42.8,V ugm-3,35.1,N ugm-3,24.597,N ugm-3,42,V ugm-3,12,N ugm-3,7.37411,N ugm-3,17.4,N ugm-3,54.83186,N ugm-3,45.5,V ugm-3,31.4,V ugm-3,34.4,V ugm-3,1.79613,N ugm-3,43.2,N ugm-3,18.85937,N ugm-3,21.8,V ugm-3,3,V ugm-3,34,N ugm-3,1,N ugm-3,No data,N ugm-3,17.3,N ugm-3,20.81786,N ugm-3,7,V ugm-3,43.3,V ugm-3
2021-01-01,07:00:00,20.6,V ugm-3,15.10497,N ugm-3,14.21936,N ugm-3,20.2,V ugm-3,No data,,22.8,V ugm-3,38.7,V ugm-3,No data,V ugm-3,15.7,V ugm-3,15.5,V ugm-3,No data,V ugm-3,15.7,V ugm-3,30.36957,V ugm-3,22,V ugm-3,No data,,43.5,V ugm-3,31.6,N ugm-3,26.39313,N ugm-3,51,V ugm-3,7,N ugm-3,7.25387,N ugm-3,16.2,N ugm-3,53.33508,N ugm-3,39.1,V ugm-3,27.8,V ugm-3,35.2,V ugm-3,1.29721,N ugm-3,38.3,N ugm-3,14.36904,N ugm-3,18.4,V ugm-3,1,V ugm-3,18,N ugm-3,1,N ugm-3,No data,N ugm-3,17.5,N ugm-3,23.49367,N ugm-3,11,V ugm-3,45.6,V ugm-3
2021-01-01,08:00:00,19.9,V ugm-3,11.14086,N ugm-3,11.87442,N ugm-3,18.6,V ugm-3,No data,,22.2,V ugm-3,40.1,V ugm-3,No data,V ugm-3,15.2,V ugm-3,13.5,V ugm-3,No data,V ugm-3,13.2,V ugm-3,26.81722,V ugm-3,17.5,V ugm-3,No data,,39.4,V ugm-3,27.9,N ugm-3,19.94037,N ugm-3,52,V ugm-3,9,N ugm-3,4.25134,N ugm-3,16.4,N ugm-3,50.34153,N ugm-3,38.4,V ugm-3,27.3,V ugm-3,39.9,V ugm-3,1.29721,N ugm-3,35.8,N ugm-3,11.22581,N ugm-3,20.3,V ugm-3,1,V ugm-3,13,N ugm-3,1,N ugm-3,No data,N ugm-3,14.8,N ugm-3,20.76434,N ugm-3,11,V ugm-3,48.7,V ugm-3
2021-01-01,09:00:00,18.2,V ugm-3,9.74848,N ugm-3,12.07399,N ugm-3,18.6,V ugm-3,No data,,23.6,V ugm-3,39.9,V ugm-3,No data,V ugm-3,15.2,V ugm-3,12.5,V ugm-3,No data,V ugm-3,14.7,V ugm-3,26.66255,V ugm-3,16,V ugm-3,No data,,40.3,V ugm-3,27.2,N ugm-3,17.11313,N ugm-3,54,V ugm-3,2,N ugm-3,2.85934,N ugm-3,17.3,N ugm-3,48.14626,N ugm-3,41,V ugm-3,32.4,V ugm-3,41.9,V ugm-3,1.39699,N ugm-3,28.9,N ugm-3,10.77678,N ugm-3,22.3,V ugm-3,1,V ugm-3,12,N ugm-3,2,N ugm-3,No data,N ugm-3,12.7,N ugm-3,20.92489,N ugm-3,6,V ugm-3,45.4,V ugm-3
2021-01-01,10:00:00,18,V ugm-3,12.2427,N ugm-3,14.6684,N ugm-3,20,V ugm-3,No data,,27,V ugm-3,44.3,V ugm-3,No data,V ugm-3,15.7,V ugm-3,14.5,V ugm-3,No data,V ugm-3,15.2,V ugm-3,28.01963,V ugm-3,10.5,V ugm-3,No data,,42.5,V ugm-3,30.2,N ugm-3,15.15069,N ugm-3,54,V ugm-3,7,N ugm-3,4.02932,N ugm-3,20.6,N ugm-3,46.5996,N ugm-3,37.7,V ugm-3,30.9,V ugm-3,46,V ugm-3,9.87872,N ugm-3,26.5,N ugm-3,13.67055,N ugm-3,20.1,V ugm-3,2,V ugm-3,14,N ugm-3,3,N ugm-3,No data,N ugm-3,12.9,N ugm-3,23.27961,N ugm-3,2,V ugm-3,42.4,V ugm-3
2021-01-01,11:00:00,19.9,V ugm-3,17.75671,N ugm-3,14.26926,N ugm-3,14.9,V ugm-3,No data,,26,V ugm-3,44.5,V ugm-3,No data,V ugm-3,19.9,V ugm-3,17,V ugm-3,No data,V ugm-3,13.2,V ugm-3,21.42883,V ugm-3,8,V ugm-3,No data,,39.3,V ugm-3,29.4,N ugm-3,14.01979,N ugm-3,52,V ugm-3,8,N ugm-3,8.20133,N ugm-3,No data,,46.89895,N ugm-3,29.5,V ugm-3,28.3,V ugm-3,47.1,V ugm-3,18.16087,N ugm-3,26,N ugm-3,27.14152,N ugm-3,18.1,V ugm-3,5,V ugm-3,26,N ugm-3,3,N ugm-3,No data,N ugm-3,13,N ugm-3,22.42335,N ugm-3,3,V ugm-3,37,V ugm-3
2021-01-01,12:00:00,17,V ugm-3,19.8658,N ugm-3,13.92001,N ugm-3,11,V ugm-3,No data,,25.8,V ugm-3,44.7,V ugm-3,No data,V ugm-3,17.3,V ugm-3,12.5,V ugm-3,No data,V ugm-3,10.1,V ugm-3,19.17868,V ugm-3,9,V ugm-3,No data,,33.5,V ugm-3,25.8,N ugm-3,12.60617,N ugm-3,51,V ugm-3,8,N ugm-3,10.06631,N ugm-3,No data,,45.55185,N ugm-3,36.2,V ugm-3,23.8,V ugm-3,42.1,V ugm-3,28.6383,N ugm-3,26.5,N ugm-3,37.21981,N ugm-3,15.4,V ugm-3,23,V ugm-3,28,N ugm-3,4,N ugm-3,No data,N ugm-3,10.1,N ugm-3,18.08852,N ugm-3,10,V ugm-3,39.2,V ugm-3
2021-01-01,13:00:00,13.2,V ugm-3,23.28573,N ugm-3,17.51227,N ugm-3,9.5,V ugm-3,No data,,25.1,V ugm-3,40,V ugm-3,No data,V ugm-3,13.1,V ugm-3,10.5,V ugm-3,No data,V ugm-3,8.5,V ugm-3,11.99416,V ugm-3,7.5,V ugm-3,No data,,29.4,V ugm-3,18.6,N ugm-3,15.61635,N ugm-3,50,V ugm-3,9,N ugm-3,11.21234,N ugm-3,No data,,47.49766,N ugm-3,34.1,V ugm-3,18.7,V ugm-3,42.9,V ugm-3,31.88131,N ugm-3,26,N ugm-3,39.16561,N ugm-3,11.4,V ugm-3,30,V ugm-3,35,N ugm-3,10,N ugm-3,No data,N ugm-3,8.8,N ugm-3,14.0748,N ugm-3,15,V ugm-3,41.4,V ugm-3
2021-01-01,14:00:00,10.2,V ugm-3,27.05211,N ugm-3,21.80302,N ugm-3,5.2,V ugm-3,No data,,20.8,V ugm-3,38,V ugm-3,No data,V ugm-3,9.5,V ugm-3,7,V ugm-3,No data,V ugm-3,5.5,V ugm-3,4.53523,V ugm-3,4,V ugm-3,No data,,28.4,V ugm-3,12.9,N ugm-3,15.18395,N ugm-3,49,V ugm-3,9,N ugm-3,9.63823,N ugm-3,No data,,47.84691,N ugm-3,29.9,V ugm-3,10.1,V ugm-3,42.6,V ugm-3,34.5755,N ugm-3,19.1,N ugm-3,37.81852,N ugm-3,5.5,V ugm-3,34,V ugm-3,32,N ugm-3,37,N ugm-3,No data,N ugm-3,5.8,N ugm-3,9.20481,N ugm-3,23,V ugm-3,35.3,V ugm-3
2021-01-01,15:00:00,5.4,V ugm-3,26.5614,N ugm-3,24.19786,N ugm-3,2.5,V ugm-3,No data,,15,V ugm-3,36.1,V ugm-3,No data,V ugm-3,6.4,V ugm-3,5.1,V ugm-3,No data,V ugm-3,3.4,V ugm-3,4.1311,V ugm-3,2.5,V ugm-3,No data,,21.3,V ugm-3,7.9,N ugm-3,15.58309,N ugm-3,49,V ugm-3,11,N ugm-3,13.0868,N ugm-3,No data,,47.59745,N ugm-3,24.3,V ugm-3,4,V ugm-3,37.9,V ugm-3,20.50582,N ugm-3,13.2,N ugm-3,34.87486,N ugm-3,2.1,V ugm-3,45,V ugm-3,45,N ugm-3,28,N ugm-3,No data,N ugm-3,3.3,N ugm-3,4.86999,N ugm-3,23,V ugm-3,30.9,V ugm-3
2021-01-01,16:00:00,2.5,V ugm-3,25.79924,N ugm-3,25.59485,N ugm-3,3.8,V ugm-3,No data,,12.1,V ugm-3,28.3,V ugm-3,No data,V ugm-3,2.8,V ugm-3,2.6,V ugm-3,No data,V ugm-3,1.9,V ugm-3,2.42977,V ugm-3,2,V ugm-3,No data,,17.8,V ugm-3,3.7,N ugm-3,10.04502,N ugm-3,48,V ugm-3,15,N ugm-3,12.70662,N ugm-3,No data,,47.34798,N ugm-3,17.7,V ugm-3,2,V ugm-3,30.3,V ugm-3,6.93506,N ugm-3,9.3,N ugm-3,33.57765,N ugm-3,0,V ugm-3,39,V ugm-3,35,N ugm-3,28,N ugm-3,No data,N ugm-3,2.7,N ugm-3,1.55197,N ugm-3,18,V ugm-3,28.6,V ugm-3
2021-01-01,17:00:00,1.4,V ugm-3,22.24586,N ugm-3,26.04389,N ugm-3,6.6,V ugm-3,No data,,11.1,V ugm-3,23.6,V ugm-3,No data,V ugm-3,2.2,V ugm-3,1.6,V ugm-3,No data,V ugm-3,3.9,V ugm-3,1.45187,V ugm-3,0.5,V ugm-3,No data,,17,V ugm-3,2.5,N ugm-3,10.56058,N ugm-3,47,V ugm-3,12,N ugm-3,9.30844,N ugm-3,No data,,49.09422,N ugm-3,13.9,V ugm-3,1.5,V ugm-3,30.3,V ugm-3,9.42968,N ugm-3,3.9,N ugm-3,30.5841,N ugm-3,-0.6,V ugm-3,43,V ugm-3,39,N ugm-3,24,N ugm-3,No data,N ugm-3,1.6,N ugm-3,0.58868,N ugm-3,18,V ugm-3,26.1,V ugm-3
2021-01-01,18:00:00,1.6,V ugm-3,22.20218,N ugm-3,24.49722,N ugm-3,3.5,V ugm-3,No data,,10.3,V ugm-3,18.8,V ugm-3,No data,V ugm-3,2.2,V ugm-3,2.1,V ugm-3,No data,V ugm-3,3.4,V ugm-3,2.20525,V ugm-3,1.5,V ugm-3,No data,,14.8,V ugm-3,2.9,N ugm-3,23.15012,N ugm-3,47,V ugm-3,18,N ugm-3,8.66982,N ugm-3,No data,,48.5454,N ugm-3,11.7,V ugm-3,2,V ugm-3,26.4,V ugm-3,1.79613,N ugm-3,2.4,N ugm-3,33.17851,N ugm-3,-0.4,V ugm-3,40,V ugm-3,43,N ugm-3,29,N ugm-3,No data,N ugm-3,1.6,N ugm-3,0.3211,N ugm-3,2,V ugm-3,21.4,V ugm-3
2021-01-01,19:00:00,1.3,V ugm-3,23.40896,N ugm-3,27.64045,N ugm-3,3,V ugm-3,No data,,9.9,V ugm-3,11.4,V ugm-3,No data,V ugm-3,2.2,V ugm-3,1.6,V ugm-3,No data,V ugm-3,1.9,V ugm-3,3.28293,V ugm-3,2,V ugm-3,No data,,11.9,V ugm-3,2.2,N ugm-3,27.60718,N ugm-3,48,V ugm-3,26,N ugm-3,10.51285,N ugm-3,No data,,48.84476,N ugm-3,10.2,V ugm-3,1.5,V ugm-3,18.8,V ugm-3,1.74624,N ugm-3,0.9,N ugm-3,32.5798,N ugm-3,0.1,V ugm-3,34,V ugm-3,38,N ugm-3,35,N ugm-3,No data,N ugm-3,2,N ugm-3,0.48165,N ugm-3,2,V ugm-3,16.2,V ugm-3
2021-01-01,20:00:00,1.1,V ugm-3,20.7392,N ugm-3,27.2912,N ugm-3,1.4,V ugm-3,No data,,11,V ugm-3,12.3,V ugm-3,No data,V ugm-3,2.2,V ugm-3,0.6,V ugm-3,No data,V ugm-3,2.4,V ugm-3,2.00568,V ugm-3,4,V ugm-3,No data,,11.3,V ugm-3,2.6,N ugm-3,32.87916,N ugm-3,48,V ugm-3,32,N ugm-3,22.07843,N ugm-3,No data,,47.14841,N ugm-3,11,V ugm-3,2,V ugm-3,15.1,V ugm-3,1.49678,N ugm-3,-0.1,N ugm-3,32.48002,N ugm-3,4.4,V ugm-3,23,V ugm-3,27,N ugm-3,31,N ugm-3,No data,N ugm-3,3.2,N ugm-3,4.49537,N ugm-3,10,V ugm-3,12.1,V ugm-3
2021-01-01,21:00:00,11,V ugm-3,20.11944,N ugm-3,26.14367,N ugm-3,10.3,V ugm-3,No data,,12.2,V ugm-3,9.6,V ugm-3,No data,V ugm-3,6.4,V ugm-3,7,V ugm-3,No data,V ugm-3,9,V ugm-3,7.49385,V ugm-3,16,V ugm-3,No data,,9.9,V ugm-3,11.2,N ugm-3,35.55672,N ugm-3,47,V ugm-3,29,N ugm-3,25.02907,N ugm-3,No data,,45.9011,N ugm-3,11.9,V ugm-3,6.1,V ugm-3,15.2,V ugm-3,1.19742,N ugm-3,0.4,N ugm-3,32.6297,N ugm-3,9.2,V ugm-3,27,V ugm-3,20,N ugm-3,25,N ugm-3,No data,N ugm-3,6.6,N ugm-3,11.61305,N ugm-3,7,V ugm-3,8.7,V ugm-3
2021-01-01,22:00:00,28.6,V ugm-3,26.24563,N ugm-3,26.09378,N ugm-3,14.6,V ugm-3,No data,,13.5,V ugm-3,5.5,V ugm-3,No data,V ugm-3,18.3,V ugm-3,18,V ugm-3,No data,V ugm-3,13.6,V ugm-3,14.8979,V ugm-3,22.5,V ugm-3,No data,,9.4,V ugm-3,16.9,N ugm-3,37.31959,N ugm-3,52,V ugm-3,28,N ugm-3,22.21514,N ugm-3,No data,,43.65594,N ugm-3,13.4,V ugm-3,17.7,V ugm-3,10,V ugm-3,1.09763,N ugm-3,0.4,N ugm-3,32.18066,N ugm-3,15.3,V ugm-3,36,V ugm-3,27,N ugm-3,26,N ugm-3,No data,N ugm-3,9.9,N ugm-3,23.65422,N ugm-3,15,V ugm-3,7.1,V ugm-3
2021-01-01,23:00:00,32.2,V ugm-3,23.78534,N ugm-3,28.33894,N ugm-3,19.5,V ugm-3,No data,,16.1,V ugm-3,4.8,V ugm-3,No data,V ugm-3,21.4,V ugm-3,21.9,V ugm-3,No data,V ugm-3,21.8,V ugm-3,25.82935,V ugm-3,25.9,V ugm-3,No data,,8.7,V ugm-3,23.8,N ugm-3,37.65221,N ugm-3,51,V ugm-3,32,N ugm-3,25.81189,N ugm-3,No data,,40.31314,N ugm-3,13.5,V ugm-3,29.4,V ugm-3,7.7,V ugm-3,1.04774,N ugm-3,8.3,N ugm-3,33.22841,N ugm-3,18.8,V ugm-3,19,V ugm-3,19,N ugm-3,14,N ugm-3,No data,N ugm-3,14.7,N ugm-3,26.33004,N ugm-3,31,V ugm-3,6.4,V ugm-3
2021-01-01,24:00:00,31.9,V ugm-3,20.95754,N ugm-3,30.28475,N ugm-3,22.9,V ugm-3,No data,,16.4,V ugm-3,6.8,V ugm-3,No data,V ugm-3,23.5,V ugm-3,17,V ugm-3,No data,V ugm-3,20.8,V ugm-3,26.06384,V ugm-3,28.9,V ugm-3,No data,,8.5,V ugm-3,22.9,N ugm-3,37.66884,N ugm-3,52,V ugm-3,30,N ugm-3,21.15891,N ugm-3,No data,,43.75572,N ugm-3,17.1,V ugm-3,28.8,V ugm-3,11.3,V ugm-3,1.09763,N ugm-3,21.6,N ugm-3,33.2783,N ugm-3,20.2,V ugm-3,22,V ugm-3,17,N ugm-3,10,N ugm-3,No data,N ugm-3,15.3,N ugm-3,25.84839,N ugm-3,24,V ugm-3,5.6,V ugm-3
2021-01-02,01:00:00,32.7,V ugm-3,23.60782,N ugm-3,29.00417,N ugm-3,25.8,N ugm-3,No data,,18,V ugm-3,12.4,V ugm-3,No data,V ugm-3,25.6,V ugm-3,21.8,V ugm-3,No data,V ugm-3,22.3,V ugm-3,22.62459,V ugm-3,29.3,V ugm-3,No data,,10.5,V ugm-3,34.6,N ugm-3,37.71873,N ugm-3,54,V ugm-3,39,N ugm-3,21.17538,N ugm-3,No data,,33.59428,N ugm-3,23.6,V ugm-3,31.7,V ugm-3,11.2,V ugm-3,1.1831,N ugm-3,26,N ugm-3,35.19084,N ugm-3,22.4,V ugm-3,18,V ugm-3,19,N ugm-3,4,N ugm-3,No data,N ugm-3,17.8,N ugm-3,30.32593,N ugm-3,22,V ugm-3,6.9,V ugm-3
2021-01-02,02:00:00,34.2,V ugm-3,29.32101,N ugm-3,30.66726,N ugm-3,25.3,N ugm-3,No data,,20.6,V ugm-3,14.4,V ugm-3,No data,V ugm-3,28.3,V ugm-3,25.8,V ugm-3,No data,V ugm-3,22.3,V ugm-3,21.52695,V ugm-3,31.9,V ugm-3,No data,,11,V ugm-3,36.9,N ugm-3,38.03472,N ugm-3,54,V ugm-3,36,N ugm-3,30.2134,N ugm-3,No data,,37.12002,N ugm-3,32.5,V ugm-3,31,V ugm-3,14.9,V ugm-3,1.38028,N ugm-3,24.1,N ugm-3,35.78955,N ugm-3,24.2,V ugm-3,25,V ugm-3,17,N ugm-3,3,N ugm-3,No data,N ugm-3,22.3,N ugm-3,29.32695,N ugm-3,22,V ugm-3,6,V ugm-3
2021-01-02,03:00:00,35.4,V ugm-3,27.02828,N ugm-3,30.98324,N ugm-3,27.3,N ugm-3,No data,,18.1,V ugm-3,14.6,V ugm-3,No data,V ugm-3,28.1,V ugm-3,25.9,V ugm-3,No data,V ugm-3,20.8,V ugm-3,22.98049,V ugm-3,32.9,V ugm-3,No data,,14.1,V ugm-3,38.2,N ugm-3,39.44834,N ugm-3,54,V ugm-3,18,N ugm-3,36.0618,N ugm-3,No data,,34.72518,N ugm-3,32.3,V ugm-3,30.9,V ugm-3,24.9,V ugm-3,1.52816,N ugm-3,26.5,N ugm-3,37.9183,N ugm-3,26.5,V ugm-3,21,V ugm-3,32,N ugm-3,2,N ugm-3,No data,N ugm-3,22,N ugm-3,30.55783,N ugm-3,24,V ugm-3,12.6,V ugm-3
2021-01-02,04:00:00,37.5,V ugm-3,26.24366,N ugm-3,31.63185,N ugm-3,28.6,N ugm-3,No data,,18.4,V ugm-3,20.7,V ugm-3,No data,V ugm-3,30.7,V ugm-3,29.4,V ugm-3,No data,V ugm-3,22.8,V ugm-3,32.64466,V ugm-3,36.4,V ugm-3,No data,,26,V ugm-3,32.6,N ugm-3,40.97837,N ugm-3,55,V ugm-3,7,N ugm-3,37.93377,N ugm-3,No data,,33.82712,N ugm-3,30.8,V ugm-3,32.9,V ugm-3,29.7,V ugm-3,1.38028,N ugm-3,25,N ugm-3,38.71658,N ugm-3,26.6,V ugm-3,22,V ugm-3,35,N ugm-3,3,N ugm-3,No data,N ugm-3,21.7,N ugm-3,32.05629,N ugm-3,28,V ugm-3,24.2,V ugm-3
2021-01-02,05:00:00,37.4,V ugm-3,24.26847,N ugm-3,32.5798,N ugm-3,30.2,N ugm-3,No data,,19.5,V ugm-3,27.9,V ugm-3,No data,V ugm-3,30.2,V ugm-3,27.4,V ugm-3,No data,V ugm-3,22.8,V ugm-3,32.52991,V ugm-3,37.4,V ugm-3,No data,,30.8,V ugm-3,31.6,N ugm-3,40.42956,N ugm-3,65,V ugm-3,2,N ugm-3,31.26713,N ugm-3,No data,,33.77722,N ugm-3,32.9,V ugm-3,33.9,V ugm-3,26.3,V ugm-3,1.62676,N ugm-3,27.5,N ugm-3,39.11572,N ugm-3,27.5,V ugm-3,14,V ugm-3,22,N ugm-3,2,N ugm-3,No data,N ugm-3,20.9,N ugm-3,33.34068,N ugm-3,13,V ugm-3,28.5,V ugm-3
2021-01-02,06:00:00,38.3,V ugm-3,28.36294,N ugm-3,33.22841,N ugm-3,29.7,N ugm-3,No data,,21.1,V ugm-3,25.6,V ugm-3,No data,V ugm-3,30.2,V ugm-3,29.9,V ugm-3,No data,V ugm-3,23.3,V ugm-3,25.02608,V ugm-3,37.4,V ugm-3,No data,,28.2,V ugm-3,34.1,N ugm-3,37.85178,N ugm-3,65,V ugm-3,2,N ugm-3,34.05213,N ugm-3,No data,,33.57765,N ugm-3,34.2,V ugm-3,36.9,V ugm-3,25.7,V ugm-3,1.23239,N ugm-3,30,N ugm-3,38.11787,N ugm-3,27.2,V ugm-3,5,V ugm-3,17,N ugm-3,2,N ugm-3,No data,N ugm-3,19,N ugm-3,34.99969,N ugm-3,16,V ugm-3,28.2,V ugm-3
2021-01-02,07:00:00,38.4,V ugm-3,18.35541,N ugm-3,31.63185,N ugm-3,28.4,N ugm-3,No data,,20.9,V ugm-3,23.8,V ugm-3,No data,V ugm-3,28.7,V ugm-3,28.4,V ugm-3,No data,V ugm-3,20.8,V ugm-3,23.24991,V ugm-3,36.4,V ugm-3,No data,,19.8,V ugm-3,41.7,N ugm-3,39.2654,N ugm-3,68,V ugm-3,3,N ugm-3,25.70761,N ugm-3,No data,,31.83142,N ugm-3,33.1,V ugm-3,36.9,V ugm-3,26.1,V ugm-3,1.47887,N ugm-3,28.5,N ugm-3,36.12217,N ugm-3,27.8,V ugm-3,8,V ugm-3,18,N ugm-3,2,N ugm-3,No data,N ugm-3,21.2,N ugm-3,31.73519,N ugm-3,6,V ugm-3,27.4,V ugm-3
2021-01-02,08:00:00,37.1,V ugm-3,12.46248,N ugm-3,28.73808,N ugm-3,25,N ugm-3,No data,,22,V ugm-3,22.2,V ugm-3,No data,V ugm-3,28.7,V ugm-3,26.4,V ugm-3,No data,V ugm-3,23.3,V ugm-3,13.48594,V ugm-3,33.9,V ugm-3,No data,,22.1,V ugm-3,41.1,N ugm-3,37.2697,N ugm-3,67,V ugm-3,1,N ugm-3,21.28913,N ugm-3,No data,,31.13292,N ugm-3,32.6,V ugm-3,32.9,V ugm-3,27,V ugm-3,1.47887,N ugm-3,26.5,N ugm-3,35.12432,N ugm-3,27.6,V ugm-3,2,V ugm-3,11,N ugm-3,2,N ugm-3,No data,N ugm-3,17.3,N ugm-3,28.25663,N ugm-3,1,V ugm-3,30.3,V ugm-3
